Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,Category
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408710197.jpg,The Real Meal Revolution 2.0,Jonno Proudfoot,Paperback,4.0,12.39,18.0,1408710197,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7835/9781783524921.jpg,You Took the Last Bus Home,Brian Bilston,Paperback,4.5,8.68,11.4,1783524921,Humour
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4862/9780486255842.jpg,Ship Model Builder's Assistant,Charles G. Davis,Paperback,4.0,12.07,12.9,0486255842,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349117041.jpg,The Kalahari Typing School For Men,Alexander McCall Smith,Paperback,4.0,7.24,11.4,0349117041,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8480/9781848091610.jpg,Up With the Larks,Tessa Hainsworth,Paperback,4.0,9.52,11.4,1848091610,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6910/9780691090351.jpg,Birds of Southern South America and Antarctica,Martin R. De LA Pena,Paperback,4.0,26.32,26.99,0691090351,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1437/9780143783237.jpg,The Extraordinary Life of Pikelet,Calley Gibson,Paperback,4.5,17.92,21.5,0143783237,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3407/9780340786055.jpg,One Hundred Ways for a Cat to Train Its Human,Celia Haddon,Paperback,3.5,4.78,8.8,0340786055,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1992/9780199226115.jpg,The White Man's Burden,William Easterly,Paperback,4.0,13.13,16.0,0199226115,Business-Finance-Law
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3565/9780356504568.jpg,Touch,Claire North,Paperback,4.0,9.29,11.9,0356504568,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8497/9781849756136.jpg,Monochrome Home,Hilary Robertson,Hardback,3.5,23.14,31.4,1849756136,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5932/9781593277031.jpg,The Car Hacker's Handbook,Craig Smith,Paperback,4.0,33.95,45.0,1593277031,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784700171.jpg,I Contain Multitudes,Ed Yong,Paperback,4.0,11.58,15.0,1784700171,Science-Geography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099530381.jpg,The Ascent Of Rum Doodle,W. E. Bowman,Paperback,4.0,10.1,12.9,0099530381,Humour
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9488/9781948836531.jpg,Indistractable,Nir Eyal,Hardback,4.5,19.41,26.5,1948836531,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8620/9781862074408.jpg,Stet,Diana Athill,Paperback,4.0,4.13,9.02,1862074408,Dictionaries-Languages
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9097/9781909763029.jpg,Baby Sees: Spots and Dots,Chez Picthall,Board book,4.0,7.3,7.8,1909763029,Teaching-Resources-Education
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5923/9781592335824.jpg,Encyclopedia of Crystals,Judy Hall,Paperback,4.5,19.26,25.2,1592335824,Mind-Body-Spirit
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7848/9781784871512.jpg,The Gulag Archipelago,Aleksandr Solzhenitsyn,Paperback,4.0,16.03,21.1,1784871512,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7352/9780735216372.jpg,Thinking In Bets,Annie Duke,Paperback,4.0,11.8,14.0,0735216372,Business-Finance-Law
